Customer_ID,Name,Gender,City_ID,Pincode,Birthdate,Income_Bracket,Email_Id,PhoneNo
C_1,Chimayi Shishir,F,14,456789,01-01-1980,1.99E+07,ChimayiShishir80@outlook.com,9917570056
C_10,Sharanya Paritosh,F,25,598804,09-02-1981,1.88E+07,SharanyaParitosh81@yahoo.com,9978696886
C_100,Rati Vidya,F,30,285029,13-03-1992,1.04E+07,RatiVidya92@gmail.com,9973648909
C_101,Bhagya Chirimar,F,11,681094,27-04-1992,1.48E+07,BhagyaChirimar92@outlook.com,9976562202
C_102,Amrusha Imani,F,23,135785,11-06-1992,1.17E+07,AmrushaImani92@outlook.com,9991260301
C_103,Hiral Shamsher,F,19,872008,26-07-1992,6605490,HiralShamsher92@gmail.com,9967324302
C_104,Najma Bhaskar,F,25,198854,09-09-1992,1.23E+07,NajmaBhaskar92@gmail.com,9893809634
C_105,Indukala Ramana,F,28,115225,24-10-1992,7204040,IndukalaRamana92@gmail.com,9950795127
C_106,Komal Vinata,F,9,623610,08-12-1992,9700220,KomalVinata92@yahoo.com,9913137741
C_107,Bimala Pundarik,F,25,228987,22-01-1993,1189760,BimalaPundarik93@yahoo.com,9972051368
C_108,Shabari Jeevan,F,19,453074,08-03-1993,9027320,ShabariJeevan93@gmail.com,9964612776
C_109,Shrigeeta Supriya,F,9,193905,22-04-1993,1.22E+07,ShrigeetaSupriya93@gmail.com,9967650845
C_11,Shruti Koduri,F,22,733768,26-03-1981,8009130,ShrutiKoduri81@yahoo.com,9928742098
C_110,Magana Priyavardhan,F,19,843719,06-06-1993,1.44E+07,MaganaPriyavardhan93@gmail.com,9907408028
C_111,Daya Jitesh,F,15,162910,21-07-1993,1.15E+07,DayaJitesh93@gmail.com,9942233078
C_112,Ekata Mathrubootham,F,26,129191,04-09-1993,9301920,EkataMathrubootham93@yahoo.com,9944593893
C_113,Nitya Ketaki,F,21,932511,19-10-1993,4919320,NityaKetaki93@gmail.com,9983654826
C_114,Nityapriya Venktesh,F,7,803094,03-12-1993,1.96E+07,NityapriyaVenktesh93@outlook.com,9897187154
C_115,Akuti Lokhande,F,9,126519,17-01-1994,1.27E+07,AkutiLokhande94@gmail.com,9879716358
C_116,Swasti Satyen,F,2,819612,03-03-1994,4266580,SwastiSatyen94@gmail.com,9908104121
C_117,Jayani Jayati Maruti,F,22,408651,17-04-1994,8832570,JayaniJayatiMaruti94@gmail.com,9995810352
C_118,Latika Lolaksi,F,5,875098,01-06-1994,1.12E+07,LatikaLolaksi94@rediffmail.com,9942393973
C_119,Ashakiran Sarath,F,30,698562,16-07-1994,1.89E+07,AshakiranSarath94@gmail.com,9929962062
C_12,Jamuna Sukhjinder,F,22,813976,10-05-1981,1.75E+07,JamunaSukhjinder81@outlook.com,9986403151
C_120,Poornachandra Sameer,M,17,455851,30-08-1994,1842140,PoornachandraSameer94@yahoo.com,9966512251
C_121,Udayachal Venu,M,16,399493,14-10-1994,1.97E+07,UdayachalVenu94@yahoo.com,9969469242
C_122,Bratindra Dhadda,M,1,872214,28-11-1994,1.20E+07,BratindraDhadda94@gmail.com,9890247136
C_123,Gursharan Thyagarajan,M,17,839733,12-01-1995,5824740,GursharanThyagarajan95@outlook.com,9905463665
C_124,Hemendu Rammohan,M,26,266864,26-02-1995,2688630,HemenduRammohan95@yahoo.com,9955246057
C_125,Indukanta Siddhanta Susarla,M,16,195126,12-04-1995,1.19E+07,IndukantaSiddhantaSusarla95@outlook.com,9962420359
C_126,Kamlesh Nandkeolyar,M,12,794164,27-05-1995,1.58E+07,KamleshNandkeolyar95@gmail.com,9970848217
C_127,Tuhin Sunthari,M,7,558791,11-07-1995,3324860,TuhinSunthari95@outlook.com,9932984367
C_128,Sudhakar Padmanabh,M,26,140659,25-08-1995,1955700,SudhakarPadmanabh95@outlook.com,9899363524
C_129,Isar Kunwarjit,M,4,996094,09-10-1995,1.12E+07,IsarKunwarjit95@rediffmail.com,9969457015
C_13,Shilpita Pujar,F,30,847102,24-06-1981,7693410,ShilpitaPujar81@outlook.com,9894239134
C_130,Eshwar Vishwamber,M,23,655821,23-11-1995,3647900,EshwarVishwamber95@gmail.com,9925775555
C_131,Prateek Kandathil,M,28,108393,07-01-1996,1718740,PrateekKandathil96@gmail.com,9969420072
C_132,Chitraksh Manandhar,M,28,413141,21-02-1996,1.61E+07,ChitrakshManandhar96@gmail.com,9935048529
C_133,Pushpak Sanjna,M,6,195620,06-04-1996,4351480,PushpakSanjna96@yahoo.com,9929050278
C_134,Adhik Prasad,M,7,639240,21-05-1996,1118900,AdhikPrasad96@yahoo.com,9902024037
C_135,Basudha Manjari,M,14,774081,05-07-1996,4786700,BasudhaManjari96@gmail.com,9890514200
C_136,Yaman Senapathy,M,31,462166,19-08-1996,1.59E+07,YamanSenapathy96@outlook.com,9967555344
C_137,Ritvik Keskar,M,27,867333,03-10-1996,1768600,RitvikKeskar96@rediffmail.com,9958682890
C_138,Amar Ramasubramanian,M,23,607223,17-11-1996,1.98E+07,AmarRamasubramanian96@outlook.com,9985721916
C_139,Banbihari Supriya,M,26,641771,01-01-1997,2343890,BanbihariSupriya97@gmail.com,9894000661
C_14,Rupali Surendra,F,4,198786,08-08-1981,4894020,RupaliSurendra81@gmail.com,9973324100
C_140,Vikramendra Tanuj Vishal,M,15,741932,15-02-1997,2887860,VikramendraTanujVishal97@yahoo.com,9996324000
C_141,Madhusudan Veerasamy,M,7,727983,01-04-1997,602349,MadhusudanVeerasamy97@outlook.com,9958628615
C_142,Sohail Mandava,M,10,562013,16-05-1997,1.32E+07,SohailMandava97@gmail.com,9976256540
C_143,Suryabhan Niten,M,18,829231,30-06-1997,1.36E+07,SuryabhanNiten97@gmail.com,9987614256
C_144,Neelambar Jagarlamudi,M,22,353062,14-08-1997,9110980,NeelambarJagarlamudi97@gmail.com,9883402415
C_145,Vrishin Yash Nayudu,M,3,621151,28-09-1997,6351280,VrishinYashNayudu97@rediffmail.com,9949198153
C_146,Yatindra Saini,M,15,132022,12-11-1997,9141450,YatindraSaini97@gmail.com,9898166446
C_147,Shripati Suthar,M,13,845263,27-12-1997,7568460,ShripatiSuthar97@outlook.com,9945375559
C_148,Raj Trilochan Satyavati,M,13,807112,10-02-1998,7504600,RajTrilochanSatyavati98@outlook.com,9912805151
C_149,Baldev Davuluri,M,7,772857,27-03-1998,1.91E+07,BaldevDavuluri98@outlook.com,9982480636
C_15,Sanjivani Konkipudi,F,18,865773,22-09-1981,4811110,SanjivaniKonkipudi81@gmail.com,9981456300
C_150,Gayatri Sethi,F,7,921958,11-05-1998,1.69E+07,GayatriSethi98@gmail.com,9877135765
C_16,Vidula Gahlot,F,3,577955,06-11-1981,1.70E+07,VidulaGahlot81@yahoo.com,9957462308
C_17,Ulupi Oruganti,F,18,751118,21-12-1981,1.58E+07,UlupiOruganti81@gmail.com,9996630731
C_18,Shreemayi Naik,F,27,931187,04-02-1982,1.44E+07,ShreemayiNaik82@gmail.com,9982104707
C_19,Firoza Naueshwara,F,12,364634,21-03-1982,1.68E+07,FirozaNaueshwara82@gmail.com,9997788385
C_2,Shrilata Nihar,F,24,331918,15-02-1980,1.81E+07,ShrilataNihar80@gmail.com,9888004031
C_20,Diksha Punita,F,26,925685,05-05-1982,2906700,DikshaPunita82@rediffmail.com,9996098427
C_21,Nileen Saginala,F,10,110047,19-06-1982,1204510,NileenSaginala82@yahoo.com,9961297119
C_22,Mythili Pandya,F,11,344119,03-08-1982,6837960,MythiliPandya82@gmail.com,9993580168
C_23,Rachna Gaekwad,F,28,228254,17-09-1982,872629,RachnaGaekwad82@outlook.com,9915960496
C_24,Anusha Sharmistha,F,9,602422,01-11-1982,5344200,AnushaSharmistha82@yahoo.com,9957631961
C_25,Asha Vattyam,F,6,428686,16-12-1982,1.05E+07,AshaVattyam82@gmail.com,9959993706
C_26,Padmalaya Suravinda,F,23,914721,30-01-1983,1.76E+07,PadmalayaSuravinda83@gmail.com,9949470946
